,complete,dyn1,dyn2,dyn3,dyn4,dyn5,dyn6,dyn7,dyn8,dyn9,dyn10,dyn11
1,0,0.0167449,0.0135151,0.0143581,0.0170505,0.0155014,0.00841605,0.0403013,0.0261852,0,0.0184122,0.0274502
2,0.00238438,0.0104091,0.0231436,0,0.0157823,0.018732,0.00485957,0.034592,0.0284733,0.00271461,0.00822896,0.0321146
3,0,0.010594,0.0127996,0,0.0122445,0,0.00780294,0.027655,0.028857,0.00143505,0.0197646,0.0335255
4,0,0.0100271,0.0148849,0.0146195,0.0136905,0.00979284,0.00942995,0.0304342,0.0250195,0,0.0155282,0.0215588
5,0,0.0109605,0.0138382,0,0.0182841,0.0132039,0.0124444,0.0308898,0.0278505,0.000368356,0.0151017,0.0237937
6,0,0.00936755,0.0130964,0.0125349,0.0154759,0.0135247,0.012073,0.0325566,0.0236294,0.00409638,0.0146265,0.0276552
7,0.0194417,0.0163325,0.0134852,0.0162179,0.0169058,0.0129755,0.00532018,0.0313784,0.0315629,0,0.0180555,0.0265338
8,0.0493216,0.0130446,0.020326,0.0184598,0.0178549,0.0158732,0.0141989,0.04015,0.0304485,0,0.0230011,0.0280512
9,0,0.0061127,0.0138586,0.0195294,0.0174552,0,0.0116137,0.0244733,0.027059,0.00117056,0.0135731,0.0192902
10,0,0.00881813,0.0132781,0.0167575,0.00986158,0,0.00578316,0.0284199,0.0228804,0,0.0149543,0.0318264
11,0.00156735,0.00576344,0.0119908,0.0153075,0.0112517,0.0142067,0.00673345,0,0.030619,0,0.0154901,0.0286914
12,0,0.00660664,0.0163569,0.020233,0.0157975,0.0175401,0.00243262,0.0264308,0.0265967,0,0.0138163,0.0277471
13,0,0.0132014,0.0192909,0.0109086,0,0.0192551,0.00462416,0.0278078,0.0119673,0.000714196,0,0.0288783
14,0.0195681,0.0122456,0.0150027,0,0.013893,0.00891869,0.0106294,0.0336283,0.0309062,0,0.0138631,0.0357648
15,0.0146364,0.0208632,0.0142205,0.0236598,0.0200446,0.0130133,0.0089127,0.0282369,0.0198688,0,0.0203464,0.0314845
16,0.0372585,0.00869117,0.0151001,0.0155951,0.0109156,0.0135924,0.00298952,0.0287814,0.0155715,0,0,0.0228063
17,0.00112281,0.0115296,0.019537,0,0.0195951,0.0198575,0.0128819,0.0318262,0.0277951,0,0.019517,0.0324674
18,0.0560362,0.00788263,0.0133774,0.0131681,0,0.0130945,0.00574385,0.0349426,0.0197864,0,0,0.0316054
19,0,0.0166139,0.0164503,0.0163458,0.0106261,0,0.00837591,0,0.0245464,0,0.016503,0.0294381
20,0,0.00594605,0.00922052,0.00913942,0.0200459,0.0206322,0.00406205,0.0342225,0.0246412,0,0.0151124,0.028673
21,0,0.00835687,0.0127549,0,0,0.0169833,0.000697495,0.0217153,0.0262276,0,0.0135361,0.030435
22,0.00585084,0.00455705,0.0165025,0.0134686,0.0203284,0.0238014,0.0116945,0.032281,0.0213145,0,0.0196774,0.0441143
23,0,0.0115243,0.0145332,0.0181436,0.0228937,0.0172302,0.0122894,0.0320314,0.0252656,0,0.0234342,0.0279406
24,0,0.00937428,0.0151146,0.0234515,0.00832344,0.0217951,0.00850291,0.032546,0.0228081,0.00366422,0.013571,0.0302155
25,0,0.0045455,0.0120563,0.00667565,0.0156561,0.0144614,0.00666569,0.029797,0.0300507,0,0.0137266,0.0331103
26,0,0.0144068,0.0160098,0.0206039,0.0261669,0.0172647,0.00780575,0.0320667,0.0204666,0,0,0.0170841
27,0,0.014056,0.0144111,0.00991004,0.0184139,0.0156639,0.00737837,0.0308953,0.0208489,0,0,0.0265181
28,0,0.0130981,0.0106954,0.0155072,0,0.0187786,0.00494082,0,0.0282487,0,0,0.025938
29,0,0.0106803,0.0114715,0.0106345,0.00726134,0.0228922,0.00925993,0.0278282,0.0256063,0,0.00364279,0.0312081
30,0.0131577,0.0115459,0.014648,0.023034,0.0130308,0.0129051,0.0141823,0.0269834,0.0215245,0,0.0134457,0.0288374
31,0.00965172,0.010281,0.0191307,0,0.013858,0.0166751,0.00289042,0.0275571,0.0244267,0.0013856,0.0135239,0.0317456
32,0.0157763,0.00926956,0.0128959,0.0213952,0.0164677,0.0181641,0.00412706,0.0311775,0.0192207,0,0.0157661,0.0335302
33,0,0.0131341,0.00704135,0.0231046,0.0176444,0.0176764,0.00843165,0.0234368,0.0230344,0,0.0188108,0.036142
34,0.0136873,0.0100382,0.0106334,0.0187479,0.00974991,0.0198644,0.00890549,0.0233342,0.0335809,0.000790277,0.019545,0.0299035
35,0.0264586,0.0188836,0.0156545,0.0178888,0.0157507,0.0174823,0.0119915,0.0329298,0.0216732,0.00109918,0.0154417,0.0273589
36,0.00144006,0.0182915,0.015748,0,0.017618,0.0246685,0,0.0259034,0.0253474,0.00390098,0.0113507,0.0265848
37,0,0.0109129,0.00618555,0.0151171,0.0156207,0.016945,0.00760812,0.02465,0.0186609,0,0.0163539,0.0277009
38,0.0338427,0.016881,0.0159099,0.0198164,0.010352,0.0201446,0.00984853,0.0252594,0.025816,0.00221281,0,0.0271172
39,0,0.0125489,0.0129889,0,0.0143607,0.0140278,0.00816276,0.0261664,0.0240936,0.00152367,0.147824,0.0264944
40,0,0.0120062,0.0157031,0.0179728,0.0221386,0.0171652,0.00376558,0.0278032,0.0206134,0,0.0167716,0.0393239
41,0,0.000566727,0.0109857,0.0163082,0,0.0230509,0.0075837,0.0302854,0.0254781,0.000482753,0.0149168,0.0331584
42,0,0.0116214,0.0149314,0.0133274,0.0118327,0.0226293,0.00928054,0.0279477,0.0262036,0,0.011894,0.0334578
43,0,0.00996746,0.011151,0,0.0156393,0.0119322,0.00614935,0.0288236,0.0223917,0.00376515,0.0130844,0.0237491
44,0.024708,0.0103,0.00933041,0.0146134,0.00762502,0.0224213,0.011374,0.0330307,0.0281122,0,0.0160918,0.0316696
45,0,0.0110229,0.0131257,0.0124786,0.0108528,0.0157563,0.00872521,0.0252645,0.0267857,0,0.0147617,0.0194163
46,0,0.0122991,0.0134576,0,0.013818,0.00766347,0.00187361,0.0280542,0.0250111,0.00122093,0.0167301,0.0202894
47,0.00272722,0.0148461,0.0116075,0,0.018361,0,0.00929284,0.0287749,0.030914,0.00314792,0.0144192,0.0244835
48,0,0.0184739,0.00547715,0.0141918,0.0124597,0.015658,0.00616808,0.0301378,0.0192695,0,0.0257127,0.0228155
49,0,0.0114097,0.0177759,0.014732,0,0.0123152,0.00904122,0.0325997,0.0196199,0.000119602,0.0139068,0.0253052
50,0,0.00907526,0.0101028,0.0150682,0.0170048,0,0.00684305,0.0328858,0.0233057,0.00552621,0.0175379,0.0240326
